id,ADI,CV2,Category
FOODS_1_001_CA_1_validation,2.29,0.26,Intermittent (Ngắt quãng)
FOODS_1_001_CA_2_validation,1.93,0.46,Intermittent (Ngắt quãng)
FOODS_1_001_CA_3_validation,2.23,0.5,Lumpy (Cục bộ)
FOODS_1_001_CA_4_validation,3.87,0.24,Intermittent (Ngắt quãng)
FOODS_1_001_TX_1_validation,3.06,0.29,Intermittent (Ngắt quãng)
FOODS_1_001_TX_2_validation,2.89,0.28,Intermittent (Ngắt quãng)
FOODS_1_001_TX_3_validation,3.55,0.26,Intermittent (Ngắt quãng)
FOODS_1_001_WI_1_validation,2.7,0.24,Intermittent (Ngắt quãng)
FOODS_1_001_WI_2_validation,3.31,0.27,Intermittent (Ngắt quãng)
FOODS_1_001_WI_3_validation,4.97,0.26,Intermittent (Ngắt quãng)
FOODS_1_002_CA_1_validation,3.01,0.22,Intermittent (Ngắt quãng)
FOODS_1_002_CA_2_validation,2.72,0.26,Intermittent (Ngắt quãng)
FOODS_1_002_CA_3_validation,4.2,0.19,Intermittent (Ngắt quãng)
FOODS_1_002_CA_4_validation,3.79,0.0,Intermittent (Ngắt quãng)
FOODS_1_002_TX_1_validation,7.67,0.0,Intermittent (Ngắt quãng)
FOODS_1_002_TX_2_validation,5.02,0.0,Intermittent (Ngắt quãng)
FOODS_1_002_TX_3_validation,4.81,0.21,Intermittent (Ngắt quãng)
FOODS_1_002_WI_1_validation,2.2,0.25,Intermittent (Ngắt quãng)
FOODS_1_002_WI_2_validation,4.08,0.22,Intermittent (Ngắt quãng)
FOODS_1_002_WI_3_validation,4.17,0.23,Intermittent (Ngắt quãng)
FOODS_1_003_CA_1_validation,2.12,0.25,Intermittent (Ngắt quãng)
FOODS_1_003_CA_2_validation,1.54,0.4,Intermittent (Ngắt quãng)
FOODS_1_003_CA_3_validation,1.84,0.25,Intermittent (Ngắt quãng)
FOODS_1_003_CA_4_validation,3.17,0.25,Intermittent (Ngắt quãng)
FOODS_1_003_TX_1_validation,3.49,0.28,Intermittent (Ngắt quãng)
FOODS_1_003_TX_2_validation,3.27,0.23,Intermittent (Ngắt quãng)
FOODS_1_003_TX_3_validation,7.81,0.0,Intermittent (Ngắt quãng)
FOODS_1_003_WI_1_validation,1.71,0.4,Intermittent (Ngắt quãng)
